pair,var1,var2,mi,mi_pvalue,ji,ji_pvalue,chi2,chi2_pvalue,mi_significant,ji_significant,chi2_significant
V0-V1,0,1,0.05409338305556073,0.0008999100089991,0.0,1.0,7.733075207887695,0.005421832856090312,True,False,True
V0-V2,0,2,0.3770318235987946,9.999000099990002e-05,0.6410256410256411,9.999000099990002e-05,94.17360643056851,2.8902903413504376e-22,True,True,True
V0-V3,0,3,0.7098907780024962,9.999000099990002e-05,0.9259259259259259,9.999000099990002e-05,174.42465135385328,7.995565445499009e-40,True,True,True
V0-V4,0,4,0.05674106401270569,0.0006999300069993001,0.0,1.0,8.195269276662174,0.00419997601142093,True,False,True
V0-V5,0,5,0.1912924154635879,9.999000099990002e-05,0.0078125,1.0,38.46079591521443,5.586469138637284e-10,True,False,True
V0-V6,0,6,0.7370862500524509,9.999000099990002e-05,0.9444444444444444,9.999000099990002e-05,179.2130150730514,7.198683677082693e-41,True,True,True
V0-V7,0,7,0.5573839372897738,9.999000099990002e-05,0.819672131147541,9.999000099990002e-05,144.02110599166684,3.51541279574674e-33,True,True,True
V0-V8,0,8,0.43424968973657674,9.999000099990002e-05,0.6891891891891891,9.999000099990002e-05,108.03765213457068,2.6372032389138333e-25,True,True,True
V0-V9,0,9,0.4829697537894853,9.999000099990002e-05,0.7619047619047619,9.999000099990002e-05,127.59109517685079,1.37922792509129e-29,True,True,True
V0-V10,0,10,0.22935201201220495,9.999000099990002e-05,0.5052631578947369,9.999000099990002e-05,56.0480497569,7.072132401978297e-14,True,True,True
V0-V11,0,11,0.045799415173810795,0.0017998200179982,0.20967741935483872,0.0007999200079992001,12.45571141403022,0.0004167156275392378,True,True,True
V0-V12,0,12,0.3267324856681074,9.999000099990002e-05,0.5652173913043478,9.999000099990002e-05,75.2242872267853,4.201666952599069e-18,True,True,True
V0-V13,0,13,0.06208245031413148,9.999000099990002e-05,0.05357142857142857,1.0,13.755925153581899,0.0002081631711810279,True,False,True
V0-V14,0,14,0.03424575014871773,0.0037996200379962005,0.034482758620689655,0.9997000299970003,6.7403479736406124,0.009425623808558667,True,False,True
V1-V2,1,2,0.09337832441352721,9.999000099990002e-05,0.24675324675324675,9.999000099990002e-05,23.297258089368256,1.3879773183102472e-06,True,True,True
V1-V3,1,3,0.049391772837681085,0.000999900009999,0.0,1.0,6.866493960765661,0.008782679206825381,True,False,True
V1-V4,1,4,0.3144167099635399,9.999000099990002e-05,0.7307692307692307,9.999000099990002e-05,127.30365111154586,1.5941753144645678e-29,True,True,True
V1-V5,1,5,0.025270185701972037,0.012998700129987,0.031914893617021274,0.9979002099790021,4.995921151095427,0.025407126506142803,True,False,True
V1-V6,1,6,0.05055421794673608,0.0013998600139986002,0.0,1.0,7.078673335371989,0.007800674224473616,True,False,True
V1-V7,1,7,0.05771305340127109,0.00029997000299970003,0.0,1.0,8.41553641698994,0.003720280146444015,True,False,True
V1-V8,1,8,0.09946727242377819,9.999000099990002e-05,0.25675675675675674,9.999000099990002e-05,25.261297449929746,5.006545475080752e-07,True,True,True
V1-V9,1,9,0.020296990254751606,0.025397460253974602,0.025974025974025976,0.9971002899710029,3.6133646699940316,0.05731704668644267,True,False,False
V1-V10,1,10,0.0025728486504781618,0.5001499850014999,0.07766990291262135,0.8563143685631437,0.37073950363908104,0.5426014510127817,False,False,False
V1-V11,1,11,0.020423313210382897,0.0163983601639836,0.16216216216216217,0.0163983601639836,5.469389995254115,0.019352379116637685,True,True,True
V1-V12,1,12,0.006684521061020188,0.24767523247675233,0.06666666666666667,0.944005599440056,1.2380476550609485,0.26584765030737223,False,False,False
V1-V13,1,13,0.0007126239491010416,0.8115188481151885,0.10256410256410256,0.40775922407759224,0.04223347380347721,0.8371753705320025,False,False,False
V1-V14,1,14,0.010000113980911194,0.1421857814218578,0.13725490196078433,0.0751924807519248,2.190326707773027,0.13887985479611448,False,False,False
V2-V3,2,3,0.39113423454419605,9.999000099990002e-05,0.631578947368421,9.999000099990002e-05,95.55828033738437,1.43600960108859e-22,True,True,True
V2-V4,2,4,0.06668775169876304,9.999000099990002e-05,0.22784810126582278,9.999000099990002e-05,16.848249913203716,4.049064952550297e-05,True,True,True
V2-V5,2,5,0.22326508724385305,9.999000099990002e-05,0.027586206896551724,1.0,50.115776573670445,1.4493700601913516e-12,True,False,True
V2-V6,2,6,0.3706904506852845,9.999000099990002e-05,0.6233766233766234,9.999000099990002e-05,91.90660261175324,9.086534098091346e-22,True,True,True
V2-V7,2,7,0.259422957118428,9.999000099990002e-05,0.5595238095238095,9.999000099990002e-05,67.39587936008655,2.221126925585839e-16,True,True,True
V2-V8,2,8,0.6864108555690259,9.999000099990002e-05,0.8831168831168831,9.999000099990002e-05,158.33989088967928,2.6083968470253702e-36,True,True,True
V2-V9,2,9,0.28176706646176325,9.999000099990002e-05,0.5783132530120482,9.999000099990002e-05,72.82802823245781,1.414536483577372e-17,True,True,True
V2-V10,2,10,0.1873328620444921,9.999000099990002e-05,0.5377358490566038,9.999000099990002e-05,47.6688175330591,5.046550400687448e-12,True,True,True
V2-V11,2,11,0.13100164704048867,9.999000099990002e-05,0.26666666666666666,9.999000099990002e-05,31.15144238861655,2.3866195719611166e-08,True,True,True
V2-V12,2,12,0.18121180795601743,9.999000099990002e-05,0.5327102803738317,9.999000099990002e-05,46.07197264512217,1.1398752845038703e-11,True,True,True
V2-V13,2,13,0.05304215397607548,0.00019998000199980003,0.09523809523809523,1.0,12.588772494369366,0.0003880709331674508,True,False,True
V2-V14,2,14,0.006244948068932121,0.25547445255474455,0.1,0.9291070892910709,1.2100443956226166,0.27132332963187,False,False,False
V3-V4,3,4,0.0518065096489911,0.0007999200079992001,0.0,1.0,7.281962084184417,0.006965041793278191,True,False,True
V3-V5,3,5,0.17155462000403396,9.999000099990002e-05,0.008064516129032258,1.0,34.21602941112795,4.932102051329434e-09,True,False,True
V3-V6,3,6,0.7086392309022499,9.999000099990002e-05,0.9423076923076923,9.999000099990002e-05,178.4699471080832,1.0459252698542046e-40,True,True,True
V3-V7,3,7,0.5568226436855491,9.999000099990002e-05,0.8135593220338984,9.999000099990002e-05,143.8634342407915,3.805826434978943e-33,True,True,True
V3-V8,3,8,0.500697539361033,9.999000099990002e-05,0.704225352112676,9.999000099990002e-05,116.67519008398125,3.3815009420035895e-27,True,True,True
V3-V9,3,9,0.4784649823746375,9.999000099990002e-05,0.7540983606557377,9.999000099990002e-05,127.0419588252463,1.8188710514750764e-29,True,True,True
V3-V10,3,10,0.21860973362372835,9.999000099990002e-05,0.4787234042553192,9.999000099990002e-05,52.954701342281886,3.413300647802046e-13,True,True,True
V3-V11,3,11,0.05252460006306683,0.00029997000299970003,0.22413793103448276,0.00029997000299970003,14.766351878584173,0.00012168762453577489,True,True,True
V3-V12,3,12,0.3223556540948408,9.999000099990002e-05,0.5384615384615384,9.999000099990002e-05,72.25954200617096,1.8867617740981032e-17,True,True,True
V3-V13,3,13,0.07691877346667712,9.999000099990002e-05,0.03636363636363636,1.0,16.418613748291072,5.0784082973543455e-05,True,False,True
V3-V14,3,14,0.041018511330297346,0.0007999200079992001,0.023809523809523808,1.0,7.722575491918401,0.005453454443456233,True,False,True
V4-V5,4,5,0.05778439643820238,9.999000099990002e-05,0.010309278350515464,1.0,10.756554351810532,0.0010391065981899092,True,False,True
V4-V6,4,6,0.05302649285275421,0.0011998800119988001,0.0,1.0,7.5055889916523695,0.006150782262290962,True,False,True
V4-V7,4,7,0.036149902311175826,0.0025997400259974,0.012658227848101266,0.9999000099990001,6.226434678776842,0.012585689155750925,True,False,True
V4-V8,4,8,0.088483390555857,9.999000099990002e-05,0.25333333333333335,9.999000099990002e-05,22.699494755441304,1.8941766768499507e-06,True,True,True
V4-V9,4,9,0.022329093839656096,0.0273972602739726,0.02564102564102564,0.9979002099790021,4.019430161206125,0.044978908318390694,True,False,False
V4-V10,4,10,0.0012035545577677303,0.6584341565843416,0.08737864077669903,0.7905209479052094,0.12298681778817647,0.7258173537999169,False,False,False
V4-V11,4,11,0.018818153992470117,0.08539146085391461,0.15789473684210525,0.0198980101989801,4.9177471829485455,0.026582157552772212,False,True,True
V4-V12,4,12,0.0014269673127472599,0.6556344365563443,0.08653846153846154,0.801919808019198,0.16146279684560028,0.6878133108697304,False,False,False
V4-V13,4,13,0.0016468586157158596,0.6373362663733627,0.07407407407407407,0.8154184581541846,0.18129059360589578,0.6702664628377935,False,False,False
V4-V14,4,14,0.015250328100235508,0.08949105089491051,0.1568627450980392,0.0365963403659634,3.699239399445913,0.05443727794541912,False,False,False
V5-V6,5,6,0.17641041337292698,9.999000099990002e-05,0.008,1.0,35.25542973357608,2.891747449600742e-09,True,False,True
V5-V7,5,7,0.11952085700369425,9.999000099990002e-05,0.03937007874015748,1.0,26.742236646154986,2.3248387581552962e-07,True,False,True
V5-V8,5,8,0.2858683170236548,9.999000099990002e-05,0.006896551724137931,1.0,59.48852259093877,1.230094462341124e-14,True,False,True
V5-V9,5,9,0.1798386833957718,9.999000099990002e-05,0.015384615384615385,1.0,37.72383823076167,8.150246752225774e-10,True,False,True
V5-V10,5,10,0.15634741819500286,9.999000099990002e-05,0.07894736842105263,1.0,38.32631600986303,5.985007180939735e-10,True,False,True
V5-V11,5,11,0.050608946048305646,0.0007999200079992001,0.010526315789473684,0.9999000099990001,9.327654882721486,0.002257210447419662,True,False,True
V5-V12,5,12,0.27657002499295363,9.999000099990002e-05,0.03773584905660377,1.0,64.94256527517456,7.711322730829408e-16,True,False,True
V5-V13,5,13,0.10045780477515535,0.00019998000199980003,0.41836734693877553,9.999000099990002e-05,26.312272373431902,2.9043725160160084e-07,True,True,True
V5-V14,5,14,0.02443846899999788,0.014798520147985201,0.0673076923076923,0.9971002899710029,5.316848695494427,0.02112017314183449,True,False,True
V6-V7,6,7,0.577271818549953,9.999000099990002e-05,0.8305084745762712,9.999000099990002e-05,148.16905221867094,4.3568964213413435e-34,True,True,True
V6-V8,6,8,0.4661200705370758,9.999000099990002e-05,0.6944444444444444,9.999000099990002e-05,112.57948221391894,2.667540058177432e-26,True,True,True
V6-V9,6,9,0.4970754732191459,9.999000099990002e-05,0.7704918032786885,9.999000099990002e-05,131.1978003122492,2.2412330970887423e-30,True,True,True
V6-V10,6,10,0.22675537362324533,9.999000099990002e-05,0.48936170212765956,9.999000099990002e-05,54.90984102493108,1.2618758584728424e-13,True,True,True
V6-V11,6,11,0.03863649753775094,0.0022997700229977,0.2,0.0012998700129987,10.454898662825792,0.0012232462381941522,True,True,True
V6-V12,6,12,0.33163026322655736,9.999000099990002e-05,0.5494505494505495,9.999000099990002e-05,74.3714463215239,6.4718349520226865e-18,True,True,True
V6-V13,6,13,0.06600557313623402,9.999000099990002e-05,0.045454545454545456,1.0,14.362391186376328,0.00015078407002798954,True,False,True
V6-V14,6,14,0.04261055438142551,0.0013998600139986002,0.023529411764705882,1.0,8.049480095170956,0.00455167149948464,True,False,True
V7-V8,7,8,0.3285054355325956,9.999000099990002e-05,0.620253164556962,9.999000099990002e-05,84.97580842777275,3.0203797875566417e-20,True,True,True
V7-V9,7,9,0.38080610414133137,9.999000099990002e-05,0.6764705882352942,9.999000099990002e-05,102.37783355539668,4.588067988875333e-24,True,True,True
V7-V10,7,10,0.19299573297627148,9.999000099990002e-05,0.4897959183673469,9.999000099990002e-05,48.16773733137676,3.9127348636792615e-12,True,True,True
V7-V11,7,11,0.04124080501494962,0.0015998400159984002,0.2,0.0013998600139986002,10.953845146904822,0.0009340957182274372,True,True,True
V7-V12,7,12,0.2978690734464267,9.999000099990002e-05,0.5638297872340425,9.999000099990002e-05,70.86566487691641,3.823953469220815e-17,True,True,True
V7-V13,7,13,0.04809446738954918,0.0008999100089991,0.07079646017699115,0.9998000199980002,10.892707414585796,0.000965436083713801,True,False,True
V7-V14,7,14,0.01217801559358048,0.10288971102889712,0.06896551724137931,0.9779022097790221,2.4105211226759744,0.12052223908567004,False,False,False
V8-V9,8,9,0.3285054355325956,9.999000099990002e-05,0.620253164556962,9.999000099990002e-05,84.97580842777275,3.0203797875566417e-20,True,True,True
V8-V10,8,10,0.16424059599917346,9.999000099990002e-05,0.5094339622641509,9.999000099990002e-05,41.88670704681678,9.671792831820915e-11,True,True,True
V8-V11,8,11,0.1378504872931634,9.999000099990002e-05,0.2777777777777778,9.999000099990002e-05,33.44718179600779,7.322580611336364e-09,True,True,True
V8-V12,8,12,0.22654471384654448,9.999000099990002e-05,0.5631067961165048,9.999000099990002e-05,56.98078067066069,4.400918969778858e-14,True,True,True
V8-V13,8,13,0.06504462871894875,9.999000099990002e-05,0.08,1.0,15.268525137824195,9.325757762443001e-05,True,False,True
V8-V14,8,14,0.00827680093003402,0.17748225177482252,0.09183673469387756,0.9534046595340466,1.6526876147231457,0.19859352676788194,False,False,False
V9-V10,9,10,0.33186090263515766,9.999000099990002e-05,0.5869565217391305,9.999000099990002e-05,78.0123203501604,1.023998658454616e-18,True,True,True
V9-V11,9,11,0.053689470040302716,0.0008999100089991,0.21875,0.00029997000299970003,14.592563586724367,0.00013344008958369135,True,True,True
V9-V12,9,12,0.3902717091063681,9.999000099990002e-05,0.6153846153846154,9.999000099990002e-05,87.67119802753427,7.729173413139194e-21,True,True,True
V9-V13,9,13,0.07085628535154316,9.999000099990002e-05,0.05217391304347826,1.0,15.775150942713626,7.133326672803166e-05,True,False,True
V9-V14,9,14,0.03872059536706926,0.001999800019998,0.03333333333333333,0.9998000199980002,7.698370614056143,0.005527069723965085,True,False,True
V10-V11,10,11,0.13374345037779417,9.999000099990002e-05,0.23595505617977527,9.999000099990002e-05,26.57125859611499,2.5399436899557884e-07,True,True,True
V10-V12,10,12,0.44853749368972523,9.999000099990002e-05,0.7549019607843137,9.999000099990002e-05,107.81854070808069,2.945479955140544e-25,True,True,True
V10-V13,10,13,0.03204060887368154,0.0035996400359964,0.1417910447761194,0.999000099990001,7.754416942718386,0.005358133677158078,True,False,True
V10-V14,10,14,0.11752195789772513,9.999000099990002e-05,0.32978723404255317,9.999000099990002e-05,28.443373553380354,9.647941852348342e-08,True,True,True
V11-V12,11,12,0.04577916222059086,0.000999900009999,0.18085106382978725,0.0007999200079992001,10.53801271101163,0.0011694409667377093,True,True,True
V11-V13,11,13,5.333254661841775e-05,1.0,0.08974358974358974,0.5374462553744626,0.0,1.0,False,False,False
V11-V14,11,14,0.019314328814340077,0.030096990300969902,0.16326530612244897,0.019498050194980503,4.921179163917584,0.026529404413831458,True,True,True
V12-V13,12,13,0.07906298064106582,9.999000099990002e-05,0.1,1.0,19.399697254195452,1.0602386590324712e-05,True,False,True
V12-V14,12,14,0.03806565500381826,0.000999900009999,0.24752475247524752,0.0004999500049995,9.246876574305123,0.002358974327486753,True,True,True
V13-V14,13,14,9.990567284040141e-05,1.0,0.13636363636363635,0.505949405059494,0.0,1.0,False,False,False
